,product_type,description
724,eyeliner,"Sante gentle eyeliner pencils have a wonderful texture. They are perfectly suitable
 for use on the inner eyelid. Or can be used blended with a sponge to create a 
sophisticated effect and make the color last longer.  Vegan and 
gluten-free. Not tested on animals.Ingredients: Caprylic/Capric Triglyceride, Ricinus Communis 
(Castor) Seed Oil*, Hydrogenated Palm Kernel Glycerides, Copernica 
Cerifera (Carnauba) Wax, Hydrogenated Castor O il, Euphorbia Cerifera 
(Candelilla) Wax, Cera Alba (Beeswax), Hydrogenated Palm Glycerides, 
Ascorbyl Palmitate, Tocopherol, Mica, [+/-CI 77007, CI 77288, CI 77491, 
CI 77492, CI 77499, CI 77510, CI 77742, CI 77891]"
725,eyeliner,"Kajal Eyeliner pencils, highlight and define the beauty of your eyes. Mineral pigments are fused with quince and Japan waxes for smooth, effortless application. Extracts of anthyllis, witch hazel and black tea have a soothing effect on the delicate skin around the eyes.
Features:Truly natural and organic cosmetics, certified to NATRUE and/or BDIH standardsFree from chemical/synthetic fragrances and preservativesFree from mineral oils, parabens, silicone and PEGVegan (Kajal Eyeliner 02-05)Dermatologically tested for sensitive skinWherever possible, all raw materials come from controlled organic or Demeter cultivation and are recovered under fair conditions

 "
726,eyeliner,Maybelline Line Express Eyeliner's intense color formula + smart tip smudger makes this liner glide on smoothly and is easy to apply with just one stroke.Features: Creamy formula delivers intense colorContour smudger makes blending easyAll-day wearSafe for sensitive eyes and ophthalmologist-testedContact lens safe
727,eyeliner,"

Bring out your eye color with rich contrasting color! This eyeliner softly defines your eyes with a pearlescent color that will make your eye color pop. Comes with a convenient built in sharpener that ensures precise application— and resists smudging and fading throughout the day. Features: 

Hypoallergenic
Non-irritating
Ophthalmologist, Clinically and allergy tested
Suitable for contact lens wearers


"
728,eyeliner,"Unstoppable Eyeliner allows ultra-smooth application for defined lines and eyes.
It is a self-sharpening mechanical pencil, and will hold your look in place all day long.
Waterproof.
Ophthalmologist tested, contact lens safe for sensitive eyes.
"
729,eyeliner,"These natural pencils are made with plant oils and mineral pigments.  If
 you prefer a traditional pencil to line your eyes, and want to use a 
product with natural ingredients,  try Pure Anada 
Pureline eye pencils.Ingredients: Octyldodlecyl Stearoyl Stearate (plant origin), Triglycerides, Hydrogenated Vegetable Oil, Prunus Amygdalus Dulcis (Organic Sweet Almond) Oil, Copernicia Cerifera (Carnauba) Wax, Olus Oil, Candelilla Cera, Mica, Sesamum Indicum (Sesame) Oil, Polyglyceryl-3 Diisostearate, Glyceryl Caprylate, Tocopheryl Acetate, Sorbic Acid, Titanium Dioxide (C.I. 77499), Iron Oxide (C.I. 77891 or 77491) Note:  The ingredients in Pure Anada Pureline Pencils are approved by Eco-cert and/or certified organic."
730,eyeliner,"L'Oreal Paris Colour Riche Le Khôl Eyeliner comes in a range of beautiful, wearable shades with a luxurious, intense formula
 combining oil and wax. This eyeliner softly glides over the 
eyelid allowing you to achieve a long-lasting and intense colour result."
731,eyeliner,"These natural minerals eye pencils are made fresh to order. They
 are super soft, and once they're on they do not run or smudge easily. 
That said - they do wash off easily as well!Ingredients: Jojoba Oil, Castor Oil, Carnauba Wax, 
Candelillia Wax, Ozokerite Wax, Vitamin E, Mica, and Iron Oxides
Mineral pencils expire within 6 months of purchase."
732,eyeliner,"ColorStay Eyeliner glides on easily adding drama and definition to your eyes for up to 16 hours. Waterproof formula won't smear, smudge or fade"
733,eyeliner,"Maybelline Color Show Kohl Liner is the hottest new way to create statement eyes!The brightest colors. The easiest glide. Creamy, rich color has never 
been this precise!"
734,eyeliner,"Stila La Quill Eye Liner Brush is a coveted selection of Stila’s best-selling products exclusively handpicked by Stila's very own lead makeup artist, Sarah Lucero. Inspired by Sarah Lucero's work on fashion runways, Stila's artistry proven makeup performs as promised.Features:Designed to dispense liquid eye liner evenly and precisely in a thin or bold lineBrush acts like a calligraphy pen, depositing the formula effortlessly for chic precise linesLa Quill works best with stila long-wearing liquid liner but may also be used with other types of eyelinersDirections: Dip stila's La Quill Precision Eye Liner Brush directly into cushion (sold separately), then draw across the lid in a slow, smooth, fluid motion. Use the brush to create a tight line by drawing short dashes along the lash line, connecting the dashes and moving from inner eye to outer corner."
735,eyeliner,The NYX Super Fat Eye Marker is a real magic marker!  The extra wide felt tip eye liner is perfect for creating a dramatic cat-eye look.  The eye marker application is smooth and the striking results are long-lasting. 
736,eyeliner,"Bring sexy smolder to eyes & brows.  Soft powder adheres to brows and defines eyes.Features:2-in-1 brow & liner powderVelvety powder fills in browsUse also to softly line & define eyesDirections: Twist open and pull applicator up and tap lightly on tube side to remove excess powder. Lightly brush over eyebrows until desired effect is reached. Also use to softly line & define eyesIngredients: Boron Nitride, Dimethicone, Silica, Polyethylene, Pentylene Glycol, Pumice, Kaolin, Dimethiconol, Phenoxyethanol, Ethylhexylglycerin, Dehydroacetic Acid, Copernicia Cerifera (Carnauba) Wax/Cire De Carnauba, May Contain/Peut Contenir: Titanium Dioxide, Iron Oxides, Mica"
737,eyeliner,Eye Studio Master Graphic Liquid Liner from Maybelline New York. Love the graphic look? This genius eyeliner automatically draws the boldest line with the sharpest edge! Features:Automatically draw the boldest line with the sharpest edgePitch black finishUse the flat side for bold line. Use the sharp tip for the edges
738,eyeliner,"Try CoverGirl Intensify Me! Liquid Liner and get the control of a pencil with the intensity of a liquid eyeliner for 
beautifully defined eyes every time. The all-new paddle-shaped tip gives
 you two looks in one—thick and dramatic or thin and elegant. The 
intense black formula glides on smoothly and dries quickly for instant 
drama. Clinically tested, suitable for sensitive eyes.Directions: Stand 6 inches away from a mirror and tilt your chin up, so 
that when you look down your nose into the mirror, you can see your 
entire eyelid. Dab concealer or dust translucent powder on your upper 
lids. Blend well with a sponge or lightly pat with a fingertip to cover 
veins and prevent creasing.Before applying liner, 
determine your eye shape. If eyes are close-set or round, line only the 
outer corners. Otherwise, line the entire upper lid.Gently pull your eyelid taut at an upward angle. Beginning at the inner 
corner, draw small, connected dashes along the top lashes. Be sure to 
stay close to the roots so there is no skin visible between the lashes 
and the liner. To make eyes look bigger, extend the liner slightly 
beyond the outer corners.Use a cotton swab to fix mistakes. For larger messes, dip it in makeup remover."
739,eyeliner,"Black Velvet by Infallible is L'Oreal's first plush velvet eyeliner for the ultimate bold, slick line in one stroke. This intensely vibrant black liner has an easy application felt tip to deliver supreme softness with a satin-like finish. Features:14-hour wearPlush velvet tipSatiny black finishHow to Use: For thinner lines, hold liner so tip is horizontal. For thicker lines, hold liner so tip is vertical. Start by the inner corner and apply across lashline to outer corner of eye. Apply to bottom lid as close to waterline as possible. Connect top and bottom lines at the outer corner of the eyelid.INGREDIENTS:  AQUA / WATER / EAU - BUTYLENE GLYCOL - CI 77266 / BLACK 2 - ACRYLATES COPOLYMER – GLYCERIN - BEHENETH-30 - SODIUM LAURETH-11 CARBOXYLATE – PHENOXYETHANOL - LAURETH-10 - SODIUM LAURETH-12 SULFATE – ALCOHOL - POLYSORBATE 80 - SODIUM DEHYDROACETATE - POTASSIUM SORBATE - C11-15 PARETH-7 -CAPRYLYL GLYCOL "
740,eyeliner,"Take flight with this big, bold, wing-perfecting felt-tip tool. Whether you’re into high-drama cat eyes or the daintier “kitten” look, they’ll go on smoothly in a single, precise stroke. Bonus: This liner lasts for hours, without a smear or a smudge. Game-changer. Available in Rich Black.Features:Smooth applicationPrecision tipLong-lastingSmear-proof, non-clumpingSmudge-proofApplication: Begin applying a thin line from the inner to the outer corner of your eyelid along your upper or lower lash line. Tip: Store horizontally. Ingredients: Paraben Free Water (Aqua), Butylene Glycol, Alcohol, Glycerin, Black 2 (CI 77266), Polyacrylate-16, Disodium Cetyl Phenyl Ether Disulfonate, PEG/PPG-14/4 Dimethicone, PEG-14 Dimethicone, Phenoxyethanol, Dehydroacetic Acid, Caprylyl Glycol, Diethylhexyl Sodium Sulfosuccinate, Disodium Laureth Sulfosuccinate, Sodium Laureth-12 Sulfate."
741,eyeliner,"Everything is bigger in Texas! This easy to control chubby felt tip 
liquid eyeliner allows for a precise cat eye in one stroke! Soft and 
subtle or bold and dramatic? You decide. This quick drying water-based 
formula glides on perfectly creating an intense, long-lasting 
crease-proof line. Shorter applicator fits snugly in the palm of the 
hand for a mistake-proof line.Features:
Paraben-freeOphthalmologically testedHorizontal storage is strongly recommendedThe water-based formula glides on perfectly and dries quickly creating an intense, crease-proof line Shorter applicator fits snugly in the palm of the hand for a mistake-proof lineHow to Use: Hold the pen at an angle so the tip lies flat against the lash line.  
Slowly move the pen from the inner corner of the eye to the outer corner
 of the eye using small strokes. Ingredients: Aqua (Water), Polyurethane-2, Cera Alba (Beeswax), Sucrose Acetate 
Isobutyrate, Glyceryl Stearate, Methyl Pyrrolidone, Glyceryl Stearate 
Citrate, Dimethylimidazolidinone Rice Starch, PEG-6 Beeswax, VP/Eicosene
 Copolymer, Alcohol Denat., Sorbitol, Benzyl Alcohol, Diethylhexyl 
Sebacate, Simmondsia Chinensis (Jojoba) Seed Oil, Laureth-2 Benzoate, 
Butylene Glycol, VP/Hexadecene Copolymer, Tocopherol, Polybutene, 
Dimethicone PEG-8 Polyacrylate, Parfum (Fragrance), 
Hydroxypropylcellulose, Alpha-Isomethyl Ionone, Sodium Lauryl Sulfate, 
Dipropylene Glycol, Laureth-23, Geraniol, Iodopropynyl Butylcarbamate, 
Citronellol, Linalool, Methylparaben, Phenoxyethanol, Limonene, 
Butylparaben, Isobutylparaben, Isopropylparaben. +/- : CI 77499 (Iron 
Oxides)."
742,eyeliner,"Get graphic with Wet n Wild ProLine Graphic Marker Eyeliner! Draw bold lines with this soft, angled marker tip. This marker liner gives you full control for the quickest, easiest graphic application ever! Features:Create bold graphic looks or thin subtle lines with the angled markerDark, opaque color for bold resultsQuick drying and smudge-freeDirections: Create a variety of lines by adjusting angle of the unique angled marker tip.Ingredients: Water/Eau, Acrylates Copolymer, Laureth-21, Butylene Glycol, PEG-40 Hydrogenated Castor Oil, Glycerin, Propanediol, Propylene Glycol, Chlorphenesin, Dipotassium Glycyrrhizate, Caprylhydroxamic Acid, Trisodium EDTA, Black 2/CI 77266. "
743,eyeliner,"Unique & Professional Cushion Eyeliner: Innovative liquid formula with sponge cushion delivery system dispenses the perfect amount of eyeliner onto your brush for a precise, sophisticated line every time. Advanced formula includes lash boosting complex that enhances the appearance of lashes while providing instant definition in one step.Features:Includes eyeliner brush for easy, mistake-proof applicationHigh-tech formula is long-wearing, water-resistant and smudge-resistant24-hour wearDirections: Apply eyeliner at the base of lashes. Never apply eyeliner inside the lash line. Keep cap tightly closed to prevent product from drying out. Wipe off brush on clean tissue after each use. Ingredients: Water/Eau, Iron Oxides, Acrylates Copolymer, Butylene Glycol, Black 2, Stearic Acid, Glyceryl Stearate, Oleyl Alcohol, Polybutene, Myristoyl Pentapeptide-17, Panthenol, Troxerutin, Tocopheryl Acetate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Caprylyl Glycol, Cellulose Gum, Ethylhexylglycerin, Glycerin, Hectorite, Hexylene Glycol, Magnesium Aluminum Silicate, Styrene/Acrylates Copolymer, Triethanolamine, Xanthan Gum, 1,2-Hexanediol, Benzoic Acid, Phenoxyethanol, Sodium Benzoate "
